Date,Price
2016-10-28,1.01
2016-10-31,1.014
2016-11-01,1.021
2016-11-02,1.041
2016-11-03,1.036
2016-11-04,1.024
2016-11-07,1.02
2016-11-08,1.025
2016-11-09,1.06
2016-11-10,1.055
2016-11-11,1.065
2016-11-14,1.015
2016-11-15,1.017
2016-11-16,1.018
2016-11-17,1.006
2016-11-18,0.989
2016-11-21,0.994
2016-11-22,0.998
2016-11-23,0.988
2016-11-24,0.977
2016-11-25,0.978
2016-11-28,0.995
2016-11-29,0.991
2016-11-30,0.987
2016-12-01,0.987
2016-12-02,0.982
2016-12-05,0.988
2016-12-06,0.989
2016-12-07,0.988
2016-12-08,1.006
2016-12-09,1.004
2016-12-12,1.005
2016-12-13,1.011
2016-12-14,1.015
2016-12-15,1.0
2016-12-16,0.976
2016-12-19,0.975
2016-12-20,0.958
2016-12-21,0.961
2016-12-22,0.958
2016-12-23,0.944
2016-12-26,0.94
2016-12-27,0.953
2016-12-28,0.954
2016-12-29,0.964
2016-12-30,0.968
2017-01-03,0.964
2017-01-04,0.974
2017-01-05,0.977
2017-01-06,0.968
2017-01-09,0.968
2017-01-10,0.974
2017-01-11,0.983
2017-01-12,0.98
2017-01-13,0.973
2017-01-16,0.978
2017-01-17,0.978
2017-01-18,0.977
2017-01-19,0.97
2017-01-20,0.973
2017-01-23,0.976
2017-01-24,0.973
2017-01-25,0.963
2017-01-26,0.961
2017-02-03,0.973
2017-02-06,0.981
2017-02-07,0.983
2017-02-08,0.982
2017-02-09,0.984
2017-02-10,0.978
2017-02-13,0.997
2017-02-14,0.997
2017-02-15,0.994
2017-02-16,0.996
2017-02-17,0.996
2017-02-20,0.992
2017-02-21,0.997
2017-02-22,0.996
2017-02-23,0.995
2017-02-24,1.007
2017-02-27,1.018
2017-02-28,1.016
2017-03-01,1.01
2017-03-02,1.01
2017-03-03,0.987
2017-03-06,0.988
2017-03-07,0.986
2017-03-08,0.981
2017-03-09,0.973
2017-03-10,0.974
2017-03-13,0.982
