Date,Price
2026-01-22,0.968
2026-01-23,0.968
2026-01-26,0.964
2026-01-27,0.964
2026-01-28,0.964
2026-01-29,0.964
2026-01-30,0.963
2026-02-02,0.964
2026-02-03,0.964
2026-02-04,0.963
2026-02-05,0.964
2026-02-06,0.969
2026-02-09,0.968
2026-02-10,0.966
2026-02-11,0.965
2026-02-12,0.965
2026-02-13,0.966
2026-02-24,0.967
2026-02-25,0.967
2026-02-26,0.964
