Date,Price
2025-10-17,1.2693
2025-10-20,1.269
2025-10-21,1.2721
2025-10-22,1.2712
2025-10-23,1.2769
2025-10-24,1.2724
2025-10-27,1.2756
2025-10-28,1.2754
2025-10-29,1.2751
2025-10-30,1.272
2025-10-31,1.2772
2025-11-03,1.2754
2025-11-04,1.2624
2025-11-05,1.264
2025-11-06,1.2731
2025-11-07,1.2709
2025-11-10,1.2995
2025-11-11,1.2973
2025-11-12,1.3038
2025-11-13,1.308
